SPLwHe_obj_loss,SPLwHe_norm_all,SPLwHe_norm,SPLwHe_gamma1,SPLwHe_gamma2,SPLwHe_e_break,BPLwHe_obj_loss,BPLwHe_norm_all,BPLwHe_norm,BPLwHe_gamma1,BPLwHe_gamma2,BPLwHe_e_break
199.570107,0.011205,2.908544,2.695460,2.517811,339.245635,199.468131,0.011224,2.042196,2.917819,2.650100,312.464655
160.147426,0.011031,2.904598,2.825534,2.606732,318.256858,160.237317,0.011028,2.061908,2.721536,2.742157,327.972007
169.447182,0.010493,2.711034,2.820077,2.663348,346.441157,169.438600,0.010500,1.915140,2.978026,2.760549,341.180354
199.570107,0.011205,2.908544,2.695460,2.517811,339.245635,199.468131,0.011224,2.042196,2.917819,2.650100,312.464655
160.147426,0.011031,2.904598,2.825534,2.606732,318.256858,160.237317,0.011028,2.061908,2.721536,2.742157,327.972007
149.083081,0.010713,2.643924,2.817732,2.671224,348.259975,149.110489,0.010718,1.900187,2.979711,2.734748,345.361202
161.111121,0.010973,3.019839,2.834161,2.649102,300.648395,161.145837,0.010978,2.073058,2.860521,2.762477,337.933832
152.101194,0.010534,2.631524,2.844758,2.709522,345.234739,152.263704,0.010543,1.857117,2.977966,2.753266,342.663605
168.150990,0.010960,2.924885,2.732680,2.561199,333.664646,168.151375,0.010970,2.062463,2.796484,2.714564,334.030425
207.777894,0.011033,2.928142,2.818900,2.681843,310.703825,207.893440,0.011033,2.063076,2.813820,2.724621,337.466440
171.292977,0.010703,2.721078,2.813921,2.656829,344.182749,171.366207,0.010708,1.894654,2.972575,2.733587,348.645892
179.006259,0.011197,2.913558,2.681446,2.581447,337.221534,178.885617,0.011213,2.060365,2.786954,2.721399,320.933892
152.036484,0.010584,2.709359,2.821164,2.666395,344.077271,152.050493,0.010588,1.879949,2.985910,2.743066,342.922759
149.083081,0.010713,2.643924,2.817732,2.671224,348.259975,149.110489,0.010718,1.900187,2.979711,2.734748,345.361202
163.057445,0.010632,2.818155,2.822546,2.657279,327.297176,163.136446,0.010636,1.962490,2.970585,2.695328,339.505042
171.292977,0.010703,2.721078,2.813921,2.656829,344.182749,171.366207,0.010708,1.894654,2.972575,2.733587,348.645892
179.006259,0.011197,2.913558,2.681446,2.581447,337.221534,178.885617,0.011213,2.060365,2.786954,2.721399,320.933892
169.447182,0.010493,2.711034,2.820077,2.663348,346.441157,169.438600,0.010500,1.915140,2.978026,2.760549,341.180354
